Seller ID,Category ID
1007,1
511,1
786,6
1085,1
1132,1
844,11
354,2
723,2
946,2
905,1
32,1
719,1
1059,2
177,1
74,2
494,2
307,1
921,4
515,1
670,2
1127,1
258,1
379,1
546,1
847,7
154,1
80,1
705,1
1051,3
916,1
335,1
251,2
1105,1
767,1
966,4
854,6
841,13
106,1
746,3
727,3
89,1
242,1
1107,1
1156,7
48,1
623,1
437,2
785,1
742,1
42,1
1001,2
943,3
1098,1
408,3
1071,1
285,1
1138,4
471,3
1162,4
756,1
219,2
1192,2
84,1
527,3
1120,3
85,1
223,1
39,1
1052,12
584,1
261,1
27,1
309,3
1195,6
460,2
526,4
497,1
255,1
161,1
762,6
985,1
822,4
1148,1
467,1
882,1
1122,1
922,1
1158,13
1149,1
990,1
1000,1
456,2
176,1
948,3
502,6
648,2
303,1
939,4
1175,5
181,1
604,1
271,2
492,1
833,5
1189,5
572,4
528,2
216,1
498,1
462,7
123,4
119,1
816,3
676,2
936,8
112,1
70,1
2,1
577,2
872,1
380,2
1154,1
920,13
707,1
945,1
250,3
405,3
569,4
72,1
904,3
1141,2
599,1
506,1
25,1
761,3
777,7
55,1
944,1
733,1
919,3
1133,1
168,1
466,1
911,1
377,6
626,1
415,1
760,1
1187,1
138,1
735,10
864,1
529,1
642,1
431,1
867,1
958,1
721,1
1165,1
925,1
274,3
726,1
18,1
579,1
290,2
1142,1
265,2
798,9
754,2
104,1
611,3
591,10
558,5
110,1
408,6
96,3
556,6
365,1
469,1
509,1
988,9
806,1
182,1
1110,1
473,1
127,1
38,1
284,2
1163,4
837,2
246,1
1121,9
21,1
231,4
631,2
239,1
240,2
337,2
839,7
312,1
185,1
1171,1
305,1
345,1
834,4
589,11
311,1
980,1
178,1
871,2
489,3
630,1
615,1
49,2
35,1
887,1
220,1
395,2
109,1
533,4
912,4
86,1
805,1
708,1
869,1
98,2
500,3
266,2
931,4
1100,4
183,3
657,1
141,1
1065,5
15,1
462,6
376,1
994,4
63,1
610,5
387,2
1024,1
1097,5
751,2
1139,2
671,7
238,2
308,2
689,1
243,1
320,4
748,5
878,1
355,4
617,1
704,2
41,1
654,1
1131,12
814,10
942,5
1004,3
1061,1
218,1
706,2
1106,1
64,1
83,1
5,1
425,2
908,2
744,1
145,1
1047,1
1079,5
635,2
739,2
557,11
22,1
413,1
122,1
268,11
686,1
1160,4
443,1
474,1
1174,5
753,3
1086,1
1116,5
730,10
293,1
157,5
1112,1
989,5
937,1
62,2
755,10
325,2
142,1
1014,6
650,1
136,1
998,2
571,1
1166,3
188,1
714,1
463,1
453,1
1057,1
211,1
179,1
50,2
385,2
103,1
273,1
1082,1
286,1
560,1
295,4
281,1
1076,1
715,7
34,1
646,5
446,2
105,1
567,2
1064,1
69,1
598,1
740,1
59,1
504,1
287,2
317,1
952,1
346,1
524,4
992,1
128,5
787,4
932,3
965,12
252,3
669,2
1167,1
221,1
341,2
892,3
620,2
442,2
555,1
1013,4
968,2
1018,3
198,2
339,2
863,1
827,5
472,3
1092,1
865,2
955,2
519,6
12,1
126,1
701,1
170,2
743,1
352,1
396,1
260,1
812,3
956,1
838,1
957,1
4,1
428,6
549,6
310,1
1005,1
1021,1
713,4
976,9
1017,1
356,1
455,3
962,12
1137,3
559,2
613,2
316,1
745,3
565,5
51,1
14,1
426,3
899,1
749,4
1169,1
381,6
197,5
593,6
173,6
318,1
807,4
781,7
521,4
634,9
327,3
950,2
115,2
440,6
217,2
160,1
447,2
976,12
564,1
649,2
700,6
199,1
699,5
384,11
977,1
641,10
1015,1
1008,2
836,10
45,1
1020,4
662,2
1159,4
359,2
95,2
229,6
297,1
24,1
397,1
728,1
675,5
710,4
573,2
516,2
535,4
986,2
410,1
664,4
1179,5
773,3
1117,1
92,1
244,2
874,1
501,1
108,1
737,10
862,2
1046,5
562,3
901,1
1016,12
938,1
137,1
680,1
1093,2
189,3
608,5
974,1
37,1
585,1
301,3
758,1
326,1
388,1
1168,3
673,1
256,1
300,2
75,1
1009,2
445,1
795,2
570,1
461,1
653,1
1026,2
794,1
107,1
19,1
1126,5
147,1
1178,2
903,6
362,2
202,1
678,2
277,2
46,1
674,5
1074,3
536,1
267,7
1094,1
487,1
896,1
1042,1
734,2
195,1
890,4
514,5
752,4
283,5
8,1
647,4
548,12
660,1
1095,10
457,1
298,2
1136,7
971,7
783,2
249,2
1039,1
478,1
226,2
349,1
333,1
902,2
448,4
826,1
1048,1
857,1
809,2
539,1
140,1
61,1
135,1
960,2
978,10
999,3
429,1
799,3
771,5
374,5
82,1
451,2
894,5
888,1
1182,6
163,1
575,1
57,1
402,1
1056,1
553,1
531,1
633,1
68,1
1180,4
859,3
418,3
1067,4
430,1
693,1
1081,2
580,1
688,2
169,2
382,1
520,1
716,3
987,1
1043,1
764,1
11,1
26,1
929,1
1075,1
982,2
698,6
933,13
850,2
545,1
640,2
76,1
264,7
167,1
1025,5
299,2
831,10
681,2
1073,1
1181,2
792,1
268,8
20,1
1077,4
278,1
722,2
139,1
438,1
450,11
629,2
292,2
495,2
940,2
1031,2
235,1
496,2
1145,8
731,3
1190,3
636,2
394,4
302,1
791,1
87,1
372,1
222,2
1176,1
475,1
23,1
1084,12
583,1
124,1
824,1
1104,2
192,7
7,1
1068,1
895,2
525,4
158,1
416,2
1099,6
144,1
928,3
275,3
233,5
1,1
389,4
729,1
972,7
951,7
1055,12
79,1
459,1
828,2
627,2
162,1
193,1
213,1
1101,1
823,1
1130,4
33,1
563,3
30,1
486,1
262,1
237,4
682,5
171,1
668,2
47,1
1080,10
954,1
696,5
518,2
1109,2
483,3
212,2
667,3
821,1
385,6
720,1
692,1
400,1
1083,12
1011,1
1044,2
820,2
288,2
66,1
588,3
208,1
829,2
1128,1
1113,3
893,3
470,1
434,1
652,5
78,1
280,2
373,2
703,7
718,3
165,1
120,1
618,1
227,1
133,3
1041,5
1022,10
102,2
1186,3
383,1
924,2
207,1
1070,1
1030,2
16,1
790,1
236,1
1034,1
540,3
1144,7
424,3
1087,2
436,1
538,1
444,2
301,6
485,2
717,2
371,2
503,1
909,2
313,2
632,2
677,1
417,2
818,3
782,5
358,10
1188,1
997,1
1069,4
131,1
366,1
1019,1
1124,1
77,1
1146,2
566,3
658,1
100,2
344,3
121,1
803,2
172,4
435,3
1119,3
269,1
385,3
241,1
60,1
323,1
347,1
56,1
624,2
605,2
884,3
523,1
52,1
637,2
825,2
841,3
306,1
697,2
543,1
788,1
342,3
661,3
294,9
651,1
117,1
1157,3
263,2
979,3
427,6
663,1
1194,5
517,3
101,2
842,1
947,12
481,5
770,4
464,2
750,2
815,2
363,2
832,2
875,5
969,1
914,1
1062,4
152,1
319,2
1033,1
639,1
268,7
995,1
684,1
975,2
1135,1
1191,2
959,1
458,2
561,1
370,2
130,1
574,1
334,2
175,1
245,2
830,1
581,1
215,1
779,1
1003,2
544,1
1102,2
775,9
793,2
282,3
885,1
1089,1
125,1
881,3
1147,1
94,1
845,2
190,1
512,2
597,2
322,2
272,1
724,1
88,1
480,1
1027,3
736,7
29,1
423,2
1161,3
696,2
1170,2
404,3
409,1
1096,2
603,4
1183,2
510,2
153,1
1023,4
488,1
368,4
596,1
491,1
331,1
860,1
1172,2
1114,1
513,1
9,1
336,2
1037,2
1173,2
414,1
763,11
151,1
28,1
621,3
73,1
476,1
625,2
321,5
784,1
58,1
848,3
578,1
1036,1
537,1
67,1
65,1
1168,2
1108,10
1151,5
329,5
505,1
1050,2
918,11
143,2
659,6
802,2
645,4
715,3
766,1
672,1
679,1
910,1
900,1
184,1
856,6
866,2
1088,12
129,1
780,1
644,1
439,1
421,2
364,1
638,1
1002,3
590,5
702,1
868,2
849,2
532,4
876,2
493,2
81,1
209,1
935,2
1090,4
248,2
1111,1
685,2
941,5
40,1
309,2
31,1
403,1
582,1
817,2
406,2
484,2
1150,4
1012,1
114,2
913,7
44,1
1054,1
148,1
392,2
586,2
1078,1
800,1
879,10
576,1
330,1
996,5
315,1
360,4
116,1
1153,1
870,7
953,4
923,3
93,1
1164,4
348,1
289,2
99,2
883,4
970,3
612,1
628,6
238,3
917,5
1140,1
907,3
667,2
891,1
522,2
587,4
983,6
711,1
774,1
819,2
1063,1
507,2
880,1
91,1
259,2
1006,9
205,4
340,1
614,1
542,1
1143,1
934,1
399,4
656,1
10,1
113,1
36,1
247,1
759,1
132,1
984,1
232,1
1152,12
687,10
206,1
772,5
889,3
595,4
155,2
602,3
3,1
712,1
482,7
1029,3
1032,3
350,1
156,2
671,3
391,1
609,1
228,1
314,1
861,2
210,2
1193,1
967,4
449,7
159,1
616,5
877,1
43,2
111,1
568,4
393,2
659,3
166,1
441,1
1060,12
600,12
149,1
1038,1
840,1
253,2
846,4
224,2
1010,1
420,1
186,2
694,1
592,12
1049,1
468,1
250,2
465,5
1040,7
606,1
622,1
201,1
852,3
855,7
741,3
897,2
196,2
191,3
97,2
499,1
257,1
541,1
993,1
801,1
357,2
118,2
690,1
607,5
422,10
381,3
757,1
691,13
390,2
551,2
401,1
54,1
296,1
549,3
964,12
407,1
906,1
804,3
71,1
973,5
452,1
949,1
725,4
1134,1
411,1
200,5
789,1
174,2
378,1
150,1
981,5
320,6
377,3
552,4
738,4
454,10
279,1
351,1
695,2
732,1
776,2
1066,6
433,6
1072,4
1053,2
550,2
915,1
1058,4
768,4
343,3
361,1
1177,4
747,7
291,1
225,2
1185,2
432,1
90,1
375,1
134,2
991,1
53,1
898,1
398,1
930,1
683,5
13,1
328,2
619,6
1035,1
1091,3
808,1
547,3
419,5
775,12
797,2
853,1
367,1
270,1
1155,5
214,1
665,8
353,1
813,2
6,1
963,5
927,1
164,1
369,4
508,1
926,1
412,2
203,2
1028,5
194,1
146,5
1125,1
811,2
230,1
554,1
180,1
534,1
810,6
234,7
594,3
709,1
655,5
530,2
187,1
1103,1
338,1
1123,1
843,2
477,2
490,5
332,1
1115,3
873,5
1129,8
601,6
835,3
304,1
765,1
276,1
1045,1
858,3
1118,4
386,3
204,1
886,1
851,2
796,3
1184,1
254,1
479,1
978,2
666,2
563,4
17,1
778,5
643,3
324,2
769,3
961,7
